SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,400,991,2.4775,286,272,0.951049,0.843238,0.531652,0.330223,0.235057,0.182169,0.157853,0.157853,0.157853,0.157853,0.256388
3,1.536,3,10,protocol,7.5,400,1018,2.545,358,342,0.955307,0.817097,0.535226,0.33377,0.231891,0.186858,0.160189,0.160189,0.160189,0.160189,0.254756
4,2.048,4,10,protocol,7.5,400,1134,2.835,334,328,0.982036,0.871951,0.595588,0.377497,0.253805,0.204989,0.177298,0.177298,0.177298,0.177298,0.244197
5,2.048,4,10,protocol,7.5,400,1018,2.545,348,337,0.968391,0.802326,0.532148,0.327436,0.220633,0.182634,0.159262,0.159262,0.159262,0.159262,0.247586
6,2.048,4,10,protocol,7.5,400,1005,2.5125,282,271,0.960993,0.802303,0.503507,0.314063,0.216315,0.179593,0.153717,0.153717,0.153717,0.153717,0.243536
7,2.048,4,10,protocol,7.5,400,918,2.295,262,234,0.89313,0.769388,0.441346,0.283508,0.195986,0.162997,0.139133,0.139133,0.139133,0.139133,0.246312
8,2.048,4,10,protocol,7.5,400,928,2.32,232,225,0.969828,0.773859,0.43609,0.27262,0.197321,0.164074,0.138839,0.138839,0.138839,0.138839,0.2436
9,2.048,4,10,protocol,7.5,400,908,2.27,232,212,0.913793,0.720273,0.426291,0.264261,0.188695,0.158023,0.133373,0.133373,0.133373,0.133373,0.245619
